Año,Periodo,Porcentaje
2021,Enero,0.86
2021,Febrero,0.63
2021,Marzo,0.83
2021,Abril,0.33
2021,Mayo,0.20
2021,Junio,0.53
2021,Julio,0.59
2021,Agosto,0.19
2021,Septiembre,0.62
2021,Octubre,0.84
2021,Noviembre,1.14
2021,Diciembre,0.36
2022,Enero,0.59
2022,Febrero,0.83
2022,Marzo,0.99
2022,Abril,0.54
2022,Mayo,0.18
2022,Junio,0.84
2022,Julio,0.74
2022,Agosto,0.70
2022,Septiembre,0.62
2022,Octubre,0.57
2022,Noviembre,0.58
2022,Diciembre,0.38
